danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo,uri,title,artist,mood
0.306,0.121,-17.118,0.0396,0.863,0,0.238,159.08,spotify:track:1veHwv1HPwzOvlhs5jPxeP,blame's on me,Alexander Stewart,sad
0.599,0.512,-8.072,0.0358,0.297,1.38E-05,0.136,118.003,spotify:track:134G2m5YsPiZXFOduHEfSJ,Crying in the Rain,Ali Gatie,sad
0.732,0.463,-6.972,0.0287,0.374,0,0.397,95.971,spotify:track:6moU77g9RQyMzHNuKEaQKq,It's You,Ali Gatie,sad
0.609,0.444,-9.129,0.106,0.603,6.86E-06,0.166,118.402,spotify:track:3XVBdLihbNbxUwZosxcGuJ,If I Ain't Got You,Alicia Keys,sad
0.588,0.598,-13.288,0.0296,0.0386,5.83E-05,0.866,123.724,spotify:track:6wGMLoEqD2k3RBXFHD0yUp,Lonely Boy,Andrew Gold,sad
0.532,0.471,-9.27,0.0237,0.281,6.05E-05,0.12,90.936,spotify:track:2fYYmPNwDaNpw1KRSxpQ5H,Why,Annie Lennox,sad
0.661,0.517,-7.74,0.0406,0.223,0,0.241,84.014,spotify:track:2At18rPHOuTEjGEppwGV0A,Peter Pan Was Right,Anson Seabra,sad
0.633,0.412,-7.339,0.0284,0.42,3.57E-06,0.214,102.215,spotify:track:2ZHH9aoZjrqtFk1SX1dXy7,Moonlight,Ariana Grande,sad
0.572,0.406,-8.624,0.0427,0.587,4.48E-06,0.265,119.812,spotify:track:2nC3QhMI9reBIOWutbU3Tj,Moral of the Story,Ashe,sad
0.572,0.406,-8.624,0.0427,0.587,4.48E-06,0.265,119.812,spotify:track:2nC3QhMI9reBIOWutbU3Tj,Moral of the Story,Ashe,sad
0.333,0.538,-8.653,0.0325,0.557,0,0.63,149.377,spotify:track:4bpyaPa1xruVgE2GtsYbIW,Love You From a Distance,Ashley Kutcher,sad
0.333,0.538,-8.653,0.0325,0.557,0,0.63,149.377,spotify:track:4bpyaPa1xruVgE2GtsYbIW,Love You From a Distance,Ashley Kutcher,sad
0.362,0.54,-6.031,0.0528,0.338,0,0.3,78.007,spotify:track:1ei3hzQmrgealgRKFxIcWn,In The Stars,Benson Boone,sad
0.391,0.335,-10.064,0.0763,0.389,0,0.116,174.185,spotify:track:135Lf4Q0CzlMNfOxbEUsLH,GHOST TOWN,Benson Boone,sad
0.508,0.72,-5.908,0.0628,0.272,0,0.472,79.983,spotify:track:4JehYebiI9JE8sR8MisGVb,Halo,Beyoncé,sad
0.527,0.415,-11.451,0.122,0.457,1.72E-05,0.515,78.169,spotify:track:1k1Bqnv2R0uJXQN4u6LKYt,Ain't No Sunshine,Bill Withers,sad
0.367,0.111,-14.084,0.0972,0.978,3.97E-05,0.198,82.642,spotify:track:43zdsphuZLzwA9k4DJhU0I,when the party's over,Billie Eilish,sad
0.351,0.296,-10.109,0.0333,0.934,0,0.12,115.284,spotify:track:0u2P5u6lvoDfwTYjAADbn4,lovely (with Khalid),Billie Eilish,sad
0.704,0.225,-14.454,0.0994,0.902,0.657,0.243,120.006,spotify:track:3ZCTVFBt2Brf31RLEnCkWJ,everything i wanted,Billie Eilish,sad
0.614,0.318,-12.695,0.0478,0.896,0.00239,0.112,119.959,spotify:track:04sN26COy28wTXYj3dMoiZ,Bored,Billie Eilish,sad
0.367,0.111,-14.084,0.0972,0.978,3.97E-05,0.198,82.642,spotify:track:43zdsphuZLzwA9k4DJhU0I,when the party's over,Billie Eilish,sad
0.407,0.308,-9.001,0.0296,0.778,1.46E-05,0.153,73.254,spotify:track:0YywjDvFudcaHG74NuWISy,People Help the People,Birdy,sad
0.379,0.29,-8.485,0.051,0.952,0.00106,0.169,166.467,spotify:track:0HRshWRNAwQBROvxXqG3i9,Skinny Love,Birdy,sad
0.407,0.308,-9.001,0.0296,0.778,1.46E-05,0.153,73.254,spotify:track:6XRNCAnxJIB1p4RPdFVSq0,People Help the People,Birdy,sad
0.513,0.396,-13.061,0.0299,0.251,0.177,0.229,140.208,spotify:track:6HSXNV0b4M4cLJ7ljgVVeh,Knockin' On Heaven's Door,Bob Dylan,sad
0.309,0.596,-5.599,0.0293,0.101,0,0.161,164.587,spotify:track:1zng9uqqXoPkmU05nsAlsw,Bed Of Roses,Bon Jovi,sad
0.588,0.149,-16.728,0.0319,0.846,9.65E-05,0.113,124.689,spotify:track:69uJi5QsBtqlYkGURTBli8,I Can't Make You Love Me,Bonnie Raitt,sad
0.588,0.149,-16.728,0.0319,0.846,9.65E-05,0.113,124.689,spotify:track:69uJi5QsBtqlYkGURTBli8,I Can't Make You Love Me,Bonnie Raitt,sad
0.64,0.427,-9.29,0.0241,0.0664,0,0.529,149.703,spotify:track:3l3xTXsUXeWlkPqzMs7mPD,End Of The Road,Boyz II Men,sad
0.612,0.28,-8.648,0.0434,0.932,0,0.387,72.795,spotify:track:0nJW01T7XtvILxQgC5J7Wh,When I Was Your Man,Bruno Mars,sad
0.576,0.835,-6.826,0.0486,0.337,0,0.476,150.017,spotify:track:0RUGuh2uSNFJpGMSsD1F5C,It Will Rain,Bruno Mars,sad
0.498,0.59,-4.721,0.032,0.511,0,0.0784,145.867,spotify:track:161DnLWsx1i3u1JT05lzqU,Talking to the Moon,Bruno Mars,sad
0.612,0.28,-8.648,0.0434,0.932,0,0.387,72.795,spotify:track:0nJW01T7XtvILxQgC5J7Wh,When I Was Your Man,Bruno Mars,sad
0.635,0.841,-5.379,0.0422,0.0134,0,0.424,109.021,spotify:track:47Slg6LuqLaX0VodpSCvPt,Just the Way You Are,Bruno Mars,sad
0.704,0.558,-7.273,0.0542,0.148,0,0.245,110.444,spotify:track:4lLtanYk6tkMvooU0tWzG8,Grenade,Bruno Mars,sad
0.498,0.59,-4.721,0.032,0.511,0,0.0784,145.867,spotify:track:1wVuPmvt6AWvTL5W2GJnzZ,Talking to the Moon,Bruno Mars,sad
0.428,0.276,-11.729,0.0312,0.732,5.33E-06,0.0382,99.195,spotify:track:33LC84JgLvK2KuW43MfaNq,"My Heart Will Go On - Love Theme from ""Titanic""",Céline Dion,sad
0.344,0.325,-10.005,0.0287,0.35,0.0223,0.0775,118.515,spotify:track:0gsl92EMIScPGV1AU35nuD,All By Myself,Céline Dion,sad
0.681,0.174,-8.745,0.0315,0.837,3.35E-05,0.231,112.672,spotify:track:2BOqDYLOJBiMOXShCV1neZ,Dancing On My Own,Calum Scott,sad
0.329,0.235,-7.699,0.0303,0.918,0,0.22,171.006,spotify:track:69vToJ9BMbbLlFZo7k7A7B,You Are The Reason,Calum Scott,sad
0.663,0.251,-9.87,0.0435,0.88,0,0.528,90.272,spotify:track:4VtRHZ4tBDHaWltVAytlLY,go,Cat Burns,sad
0.728,0.563,-8.053,0.134,0.621,0,0.352,100.017,spotify:track:37FXw5QGFN7uwwsLy8uAc0,We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,sad
0.618,0.443,-9.681,0.0526,0.469,0,0.167,119.949,spotify:track:5vjLSffimiIP26QG5WcN2K,Hold On,Chord Overstreet,sad
0.349,0.348,-6.142,0.0316,0.726,0,0.0886,74.541,spotify:track:0HZhYMZOcUzZKSFwPOti6m,Jar of Hearts,Christina Perri,sad
0.423,0.407,-7.45,0.0267,0.312,0.000961,0.161,139.048,spotify:track:4qefHyLKbyW3yeqk5Jrjey,A Thousand Years,Christina Perri,sad
0.444,0.357,-15.083,0.0285,0.485,0.337,0.513,157.481,spotify:track:5i1T44coT8wyZpCMd4F4O8,I'd Rather Go Blind,Christine McVie,sad
0.693,0.624,-7.482,0.0448,0.299,7.64E-06,0.369,105.002,spotify:track:0Ult84lvFuqNvbyXwyRQ58,I Miss You (feat. Julia Michaels),Clean Bandit,sad
0.422,0.34,-6.577,0.0351,0.877,1.77E-05,0.223,77.213,spotify:track:1is8gU4RVcN4J8xItxWoOY,I GUESS I'M IN LOVE,Clinton Kane,sad
0.697,0.474,-6.663,0.0351,0.603,0,0.249,127.904,spotify:track:0rFOs9paloAvEtzwDX1Kmc,Bubbly,Colbie Caillat,sad
0.557,0.442,-7.224,0.0243,0.731,1.46E-05,0.213,146.277,spotify:track:75JFxkI2RXiU7L9VXzMkle,The Scientist,Coldplay,sad
0.592,0.342,-8.93,0.0339,0.193,0.00245,0.155,130.953,spotify:track:4cGqn0E8JCSY9gQllQj4Mf,Let Somebody Go,Coldplay,sad
0.371,0.268,-10.506,0.0281,0.748,0.0517,0.165,102.617,spotify:track:7D0RhFcb3CrfPuTJ0obrod,Sparks,Coldplay,sad
0.592,0.342,-8.93,0.0339,0.193,0.00245,0.155,130.953,spotify:track:4cGqn0E8JCSY9gQllQj4Mf,Let Somebody Go,Coldplay,sad
0.449,0.585,-6.761,0.0268,0.0509,8.75E-05,0.212,139.631,spotify:track:6nek1Nin9q48AVZcWs9e9D,Paradise,Coldplay,sad
0.572,0.419,-7.991,0.024,0.737,1.50E-05,0.209,146.409,spotify:track:2LTl1pU074hnzAdy0SpHAb,The Scientist,Coldplay,sad
0.209,0.417,-8.74,0.0338,0.164,0.00196,0.124,138.178,spotify:track:7LVHVU3tWfcxj5aiPFEW4Q,Fix You,Coldplay,sad
0.357,0.425,-7.301,0.0333,0.584,0,0.27,102.078,spotify:track:4xqrdfXkTW4T0RauPLv3WA,Heather,Conan Gray,sad
0.34,0.684,-6.306,0.044,0.00979,0,0.556,112.969,spotify:track:7AYP21Q4qnxw2WxETEvSRb,Memories,Conan Gray,sad
0.471,0.335,-8.767,0.0273,0.593,2.11E-05,0.111,145.252,spotify:track:0KmgJyW4GDgonqsoyx0CZ3,Astronomy,Conan Gray,sad
0.475,0.243,-11.209,0.0262,0.823,0,0.108,61.317,spotify:track:6m3T4RHAMaSIKUDsxko43y,Placebo Effect,d4vd,sad
0.574,0.469,-8.209,0.0254,0.534,9.21E-05,0.288,132.023,spotify:track:78Sw5GDo6AlGwTwanjXbGh,Here With Me,d4vd,sad
0.406,0.584,-7.755,0.028,0.361,8.98E-05,0.0807,152.68,spotify:track:2E4Mgn1r9uFfjtzoSynwFF,Waves,Daniel Connell,sad
0.553,0.586,-6.319,0.0362,0.697,0,0.443,126.684,spotify:track:3EPXxR3ImUwfayaurPi3cm,Be Alright,Dean Lewis,sad
0.37,0.559,-5.589,0.0526,0.186,0,0.316,162.816,spotify:track:6HJizCbaqaEQG1eLjn341Z,Hurtless,Dean Lewis,sad
0.4,0.641,-6.303,0.0674,0.214,0,0.393,81.552,spotify:track:5hnGrTBaEsdukpDF6aZg8a,How Do I Say Goodbye,Dean Lewis,sad
0.37,0.559,-5.589,0.0526,0.186,0,0.316,162.816,spotify:track:6HJizCbaqaEQG1eLjn341Z,Hurtless,Dean Lewis,sad
